"ID","NAME","CREATEDDATE","LASTMODIFIEDDATE","LASTACTIVITYDATE","IS_ACTIVE__C","SHORT_CODE__C"
"a33200000000BbfAAE","BNP","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","BNP"
"a33200000000BbgAAE","Canara","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","Canara"
"a33200000000BbhAAE","DSPBR","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","DSPBR"
"a33200000000BbiAAE","DWS","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","DWS"
"a33200000000BbjAAE","Fixed Deposit","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","Fixed Deposit"
"a33200000000BbkAAE","HDFC FMP","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","HDFC FMP"
"a33200000000BblAAE","HSBC","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","HSBC"
"a33200000000BbmAAE","IDBI","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","IDBI"
"a33200000000BbnAAE","JP Morgan","2013-06-20T11:14:04.000Z","2013-06-20T11:14:04.000Z","","true","JP Morgan"
"a332000000009qaAAA","Ffreedom","2013-04-19T10:41:46.000Z","2013-04-19T10:44:28.000Z","","true","Fdom"
"a33200000000BbCAAU","DSP","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","DSP"
"a33200000000BbDAAU","Birla","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Birla"
"a33200000000BbEAAU","HDFC","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","HDFC"
"a33200000000BbFAAU","Axis","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Axis"
"a33200000000BbGAAU","IDFC","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","IDFC"
"a33200000000BbHAAU","Franklin India","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Franklin India"
"a33200000000BbIAAU","ICICI Prudential","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","ICICI Prudential"
"a33200000000BbJAAU","KOTAK","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","KOTAK"
"a33200000000BbKAAU","L&T","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","L&T"
"a33200000000BbLAAU","Principal","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Principal"
"a33200000000BbMAAU","Reliance","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Reliance"
"a33200000000BbNAAU","Religare","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Religare"
"a33200000000BbOAAU","SBI","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","SBI"
"a33200000000BbPAAU","Sundaram","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Sundaram"
"a33200000000BbQAAU","TATA","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","TATA"
"a33200000000BbRAAU","Templeton","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Templeton"
"a33200000000BbSAAU","UTI","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","UTI"
"a33200000000BbTAAU","Pramerica","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Pramerica"
"a33200000000BbUAAU","ICICI","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","ICICI"
"a33200000000BbVAAU","Apollo","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Apollo"
"a33200000000BbWAAU","Bajaj Allianz","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Bajaj Allianz"
"a33200000000BbXAAU","BSLI","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","BSLI"
"a33200000000BbYAAU","Health Guard","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Health Guard"
"a33200000000BbZAAU","Premium","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Premium"
"a33200000000BbaAAE","Preventive Health Care","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Preventive Health Care"
"a33200000000BbbAAE","Top Up Policy","2013-06-20T09:17:53.000Z","2013-06-20T09:17:53.000Z","","true","Top Up Policy"
"a332000000008VfAAI","HDFC Life","2013-01-19T12:09:49.000Z","2013-01-19T14:57:53.000Z","","true","HDFCLife"
"a332000000008VgAAI","HDFC Mutual Fund","2013-01-19T12:09:49.000Z","2013-01-19T14:57:53.000Z","","false","HDFCMF"
"a332000000008VhAAI","SBI Mutual Fund","2013-01-19T12:09:49.000Z","2013-01-19T14:57:53.000Z","","true","SBIMF"
"a332000000008ViAAI","IDFC Mutual Fund","2013-01-19T12:09:49.000Z","2013-01-19T14:57:53.000Z","","false","IDFCMF"
"a332000000008VjAAI","ICICI Prudential","2013-01-19T12:09:49.000Z","2013-01-19T14:57:53.000Z","","true","ICICIPru"
"a332000000008VkAAI","Apollo Munich Health Insurance","2013-01-19T12:09:49.000Z","2013-01-19T14:57:53.000Z","","false","ApolloMunich"
