Product__c	TRAIL_COMMISSION__C	UPFRONT_COMMISSION__C	Active__c 
a1RW000000015gAMAQ	0.5	1.25	TRUE
a1RW000000015gBMAQ	0	0.05	TRUE
a1RW000000015gCMAQ	0.1	0	TRUE
a1RW000000015gDMAQ	0.9	0	TRUE
a1RW000000015gEMAQ	0.5	1.25	TRUE
a1RW000000015gFMAQ	0.5	1	TRUE
a1RW000000015gGMAQ	0	0.5	TRUE
a1RW000000015gHMAQ	0	1.25	TRUE
a1RW000000015gIMAQ	0.5	1	TRUE
a1RW000000015gJMAQ	0	0.4	TRUE
a1RW000000015gKMAQ	0	1.25	TRUE
a1RW000000015gLMAQ	0.5	1	TRUE
a1RW000000015gMMAQ	0.05	0	TRUE
a1RW000000015gNMAQ	0.85	0.5	TRUE
a1RW000000015gOMAQ	0	4.5	TRUE
a1RW000000015gPMAQ	0.85	0.5	TRUE
a1RW000000015gQMAQ	0.85	0.5	TRUE
a1RW000000015gRMAQ	0.85	0.5	TRUE
a1RW000000015gSMAQ	0	1.25	TRUE
a1RW000000015gTMAQ	0.85	0.7	TRUE
a1RW000000015gUMAQ	0.85	0.5	TRUE
a1RW000000015gVMAQ	0.85	0.5	TRUE
a1RW000000015gWMAQ	0.7	0	TRUE
a1RW000000015gXMAQ	0.9	0	TRUE
a1RW000000015gYMAQ	0.9	0	TRUE
a1RW000000015gZMAQ	0.9	0	TRUE
a1RW000000015gaMAA	1.4	0	TRUE
a1RW000000015gbMAA	0.75	0.5	TRUE
a1RW000000015gcMAA	0.75	0	TRUE
a1RW000000015gdMAA	0.75	0.5	TRUE
a1RW000000015geMAA	0.4	0.85	TRUE
a1RW000000015gfMAA	0.3	0	TRUE
a1RW000000015ggMAA	0.7	0	TRUE
a1RW000000015ghMAA	0.1	0	TRUE
a1RW000000015giMAA	0.4	0.85	TRUE
a1RW000000015gjMAA	0.75	0.5	TRUE
a1RW000000015gkMAA	0.4	0.75	TRUE
a1RW000000015glMAA	0	1	TRUE
a1RW000000015gmMAA	0.75	0.5	TRUE
a1RW000000015gnMAA	0	0	TRUE
a1RW000000015goMAA	0.75	0.75	TRUE
a1RW000000015gpMAA	0.75	0.75	TRUE
a1RW000000015gqMAA	0.75	0.75	TRUE
a1RW000000015grMAA	0.05	0.05	TRUE
a1RW000000015gsMAA	0	0	TRUE
a1RW000000015gtMAA	0.75	0	TRUE
a1RW000000015guMAA	0.75	0	TRUE
a1RW000000015gvMAA	0.75	0.5	TRUE
a1RW000000015gwMAA	0.75	0.5	TRUE
a1RW000000015gxMAA	1.5	0.5	TRUE
a1RW000000015gyMAA	0	0.15	TRUE
a1RW000000015gzMAA	0.25	0	TRUE
a1RW000000015h0MAA	0	20	TRUE
a1RW000000015h1MAA	0.5	0.9	TRUE
a1RW000000015h2MAA	0.4	0.5	TRUE
a1RW000000015h3MAA	0	0.7	TRUE
a1RW000000015h4MAA	0.5	0.9	TRUE
a1RW000000015h5MAA	0.35	0	TRUE
a1RW000000015h6MAA	0.3	1.05	TRUE
a1RW000000015h7MAA	0.4	0.75	TRUE
a1RW000000015h8MAA	0	3.8	TRUE
a1RW000000015h9MAA	0.5	0.5	TRUE
a1RW000000015hAMAQ	0.5	0.5	TRUE
a1RW000000015hBMAQ	0.5	0.75	TRUE
a1RW000000015hCMAQ	0.5	0.75	TRUE
a1RW000000015hDMAQ	0.9	0	TRUE
a1RW000000015hEMAQ	0.9	0	TRUE
a1RW000000015hFMAQ	0	0.5	TRUE
a1RW000000015hGMAQ	0.05	0	TRUE
a1RW000000015hHMAQ	0	0	TRUE
a1RW000000015hIMAQ	0	3	TRUE
a1RW000000015hJMAQ	0	0.75	TRUE
a1RW000000015i8MAA	0.5	1.25	TRUE
a1RW000000015i9MAA	0.9	0	TRUE
a1RW000000015iAMAQ	0.5	1.25	TRUE
a1RW000000015iBMAQ	0.5	1	TRUE
a1RW000000015iCMAQ	0	0.5	TRUE
a1RW000000015iDMAQ	0.5	1	TRUE
a1RW000000015iEMAQ	0.5	1	TRUE
a1RW000000015iFMAQ	0	1.25	TRUE
a1RW000000015iGMAQ	0.05	0	TRUE
a1RW000000015iHMAQ	0.85	0.5	TRUE
a1RW000000015iIMAQ	0.85	0.5	TRUE
a1RW000000015iJMAQ	0.85	0.5	TRUE
a1RW000000015iKMAQ	0	0.7	TRUE
a1RW000000015iLMAQ	0.85	0.5	TRUE
a1RW000000015iMMAQ	0.7	0	TRUE
a1RW000000015iNMAQ	0.85	0.5	TRUE
a1RW000000015iOMAQ	0.9	0	TRUE
a1RW000000015iPMAQ	0.75	0	TRUE
a1RW000000015iQMAQ	0.75	0.5	TRUE
a1RW000000015iRMAQ	0.3	0	TRUE
a1RW000000015iSMAQ	0.75	0.5	TRUE
a1RW000000015iTMAQ	0	1.15	TRUE
a1RW000000015iUMAQ	0.75	0.5	TRUE
a1RW000000015iVMAQ	0.75	0.5	TRUE
a1RW000000015iWMAQ	0	18	TRUE
a1RW000000015iXMAQ	0.75	0	TRUE
a1RW000000015iYMAQ	0.75	0	TRUE
a1RW000000015iZMAQ	0.75	0.5	TRUE
a1RW000000015iaMAA	0.75	0.5	TRUE
a1RW000000015ibMAA	0.5	0.5	TRUE
a1RW000000015icMAA	1.5	0.5	TRUE
a1RW000000015idMAA	0	0.15	TRUE
a1RW000000015ieMAA	0.25	0	TRUE
a1RW000000015ifMAA	0	0.7	TRUE
a1RW000000015igMAA	0.5	0.9	TRUE
a1RW000000015ihMAA	0.6	0	TRUE
a1RW000000015eEMAQ	0	32	TRUE
a1RW000000015eFMAQ	0	33	TRUE
a1RW000000015fbMAA	0	20	TRUE
a1RW000000015fKMAQ	0	18	TRUE
a1RW000000015fLMAQ	0	18	TRUE
a1RW000000015fMMAQ	0	18	TRUE
a1RW000000015fNMAQ	0	18	TRUE
a1RW000000015fOMAQ	0	18	TRUE
a1RW000000015fPMAQ	0	18	TRUE
a1RW000000015fQMAQ	0	0	TRUE
a1RW000000015fRMAQ	0	0	TRUE
a1RW000000015rVMAQ	0	0	TRUE
a1RW000000015f7MAA	0	19	TRUE
a1RW000000015f8MAA	0	19	TRUE
a1RW000000015f9MAA	0	20	TRUE
a1RW000000015fAMAQ	0	20	TRUE
a1RW000000015fBMAQ	0	20	TRUE
a1RW000000015fCMAQ	0	20	TRUE
a1RW000000015fDMAQ	0	20	TRUE
a1RW000000015fEMAQ	0	20	TRUE
a1RW000000015fFMAQ	0	20	TRUE
a1RW000000015fGMAQ	0	20	TRUE
a1RW000000015fHMAQ	0	18	TRUE
a1RW000000015fIMAQ	0	18	TRUE
a1RW000000015fJMAQ	0	18	TRUE
a1RW000000015TGMAY	2	45	TRUE
a1RW000000015fvMAA	0	20	TRUE
a1RW000000015fqMAA	0	20	TRUE
a1RW00000001637MAA	0	0	TRUE
a1RW000000015flMAA	0	20	TRUE
a1RW000000015fgMAA	0	20	TRUE
