ACTIVE__C	MAX_YEAR_VALUE__C	MIN_YEAR_VALUE__C	PRODUCT__C	UPFRONT_COMMISSION__C	TRAIL_COMMISSION__C
TRUE	0	0	a342000000005T5AAI	0.75	0.5
TRUE	0	0	a342000000005T6AAI	0	0
TRUE	0	0	a342000000005T7AAI	0	0.5
TRUE	0	0	a342000000005T8AAI	1	0.5
TRUE	0	0	a342000000005T9AAI	1	0.5
TRUE	0	0	a342000000005TAAAY	0	0.1
TRUE	0	0	a342000000005TBAAY	3.5	0
TRUE	0	0	a342000000005TCAAY	0.9	0.45
TRUE	0	0	a342000000005TDAAY	0.5	0.6
TRUE	0	0	a342000000005TEAAY	3	0
TRUE	0	0	a342000000005TFAAY	0	0
TRUE	0	0	a342000000005TGAAY	0	0
TRUE	0	0	a342000000005THAAY	2	0.35
TRUE	0	0	a342000000005TIAAY	0	0
TRUE	0	0	a342000000005TJAAY	0	0.9
TRUE	0	0	a342000000005TKAAY	0	0
TRUE	0	0	a342000000005TLAAY	0.5	0.5
TRUE	0	0	a342000000005TMAAY	0.5	0.5
TRUE	0	0	a342000000005TNAAY	0	0
TRUE	0	0	a342000000005TOAAY	0	0
TRUE	0	0	a342000000005TPAAY	0.75	0.75
TRUE	0	0	a342000000005TQAAY	0	0
TRUE	0	0	a342000000005TRAAY	1	0
TRUE	0	0	a342000000005TSAAY	0.75	0.75
TRUE	0	0	a342000000005TTAAY	0	0.65
TRUE	0	0	a342000000005TUAAY	0	0
TRUE	0	0	a342000000005TVAAY	0.4	0.35
TRUE	0	0	a342000000005TWAAY	0	0
TRUE	0	0	a342000000005TXAAY	1.75	0
TRUE	0	0	a342000000005TYAAY	0	0.5
TRUE	0	0	a342000000005TZAAY	1	0.35
TRUE	0	0	a342000000005TaAAI	0.5	0.5
TRUE	0	0	a342000000005TbAAI	0	0
TRUE	0	0	a342000000005TcAAI	0.5	0
TRUE	0	0	a342000000005TdAAI	0.5	0.5
TRUE	0	0	a342000000005TeAAI	0.75	0.5
TRUE	0	0	a342000000005TfAAI	0	0
TRUE	0	0	a342000000005TgAAI	0.75	0.5
TRUE	0	0	a342000000005ThAAI	0.75	0.5
TRUE	0	0	a342000000005TiAAI	4	0
TRUE	0	0	a342000000005TjAAI	0.9	0.45
TRUE	0	0	a342000000005TkAAI	3	0
TRUE	0	0	a342000000005TlAAI	0.8	0.5
TRUE	0	0	a342000000005TmAAI	0	0
TRUE	0	0	a342000000005TnAAI	0.8	0.5
TRUE	0	0	a342000000005ToAAI	0	0.05
TRUE	0	0	a342000000005TpAAI	1.7	0
TRUE	0	0	a342000000005hs	1.1	0
TRUE	0	0	a342000000005TqAAI	0.8	0.5
TRUE	0	0	a342000000005TrAAI	0	0
TRUE	0	0	a342000000005TsAAI	0	0
TRUE	0	0	a342000000005TtAAI	0.9	0
TRUE	0	0	a342000000005TuAAI	0	0
