ID	NAME	PRODUCTTYPE__C	PRODUCT_NAME__C
a342000000005hsAAA	PRD-008654	Mutual Fund	Reliance Regular Savings Fund-Debt
a342000000005T5AAI	PRD-007811	Mutual Fund	Axis Dynamic Bond
a342000000005T6AAI	PRD-007812	Mutual Fund	Birla FMP
a342000000005T7AAI	PRD-007813	Mutual Fund	Birla Sun Life Cash Manager
a342000000005T8AAI	PRD-007814	Mutual Fund	Birla Sun Life India Gennext
a342000000005T9AAI	PRD-007815	Mutual Fund	Birla Sun Life MNC
a342000000005TAAAY	PRD-007816	Mutual Fund	Birla Sun Life Short Term
a342000000005TBAAY	PRD-007817	Mutual Fund	Birla Sun Life Tax Relief 96
a342000000005TCAAY	PRD-007818	Mutual Fund	BNP Paribas Equity
a342000000005TDAAY	PRD-007819	Mutual Fund	Canara Robeco Equity Diversified Regular
a342000000005TEAAY	PRD-007820	Mutual Fund	Canara Robeco Equity Taxsaver Regular
a342000000005TFAAY	PRD-007821	Mutual Fund	DSPBR Dual Advantage
a342000000005TGAAY	PRD-007822	Mutual Fund	DWS FMP/FTP
a342000000005THAAY	PRD-007823	Mutual Fund	DWS Tax Saving
a342000000005TIAAY	PRD-007824	Mutual Fund	Fixed Deposit
a342000000005TJAAY	PRD-007825	Mutual Fund	Franklin India High Growth Companies
a342000000005TKAAY	PRD-007826	Mutual Fund	HDFC FMP
a342000000005TLAAY	PRD-007827	Mutual Fund	HSBC Brazil
a342000000005TMAAY	PRD-007828	Mutual Fund	HSBC India Opportunities
a342000000005TNAAY	PRD-007829	Mutual Fund	ICICI FMP
a342000000005TPAAY	PRD-007831	Mutual Fund	ICICI Prudential Balanced Reg
a342000000005TQAAY	PRD-007832	Mutual Fund	ICICI Prudential Capital Protection
a342000000005TRAAY	PRD-007833	Mutual Fund	ICICI Prudential Income Regular
a342000000005TSAAY	PRD-007834	Mutual Fund	ICICI Prudential Top 100 Reg
a342000000005TTAAY	PRD-007835	Mutual Fund	ICICI Prudential Ultra Short Term Reg
a342000000005TUAAY	PRD-007836	Mutual Fund	IDBI Gold
a342000000005TVAAY	PRD-007837	Mutual Fund	IDBI Nifty Index
a342000000005TWAAY	PRD-007838	Mutual Fund	IDFC FMP
a342000000005TXAAY	PRD-007839	Mutual Fund	IDFC Monthly Income Plan Regular
a342000000005TYAAY	PRD-007840	Mutual Fund	IDFC SSI Short Term Regular
a342000000005TZAAY	PRD-007841	Mutual Fund	JP Morgan ASEAN Equity Off Shore
a342000000005TaAAI	PRD-007842	Mutual Fund	Kotak 50
a342000000005TbAAI	PRD-007843	Mutual Fund	Kotak FMP
a342000000005TcAAI	PRD-007844	Mutual Fund	Kotak Gold
a342000000005TdAAI	PRD-007845	Mutual Fund	Kotak Select Focus
a342000000005TeAAI	PRD-007846	Mutual Fund	L & T Equity
a342000000005TfAAI	PRD-007847	Mutual Fund	L & T FMP
a342000000005TgAAI	PRD-007848	Mutual Fund	L & T India Special Situations Fund
a342000000005ThAAI	PRD-007849	Mutual Fund	L & T Indo Asia
a342000000005TiAAI	PRD-007850	Mutual Fund	L & T Tax Advantage
a342000000005TjAAI	PRD-007851	Mutual Fund	Principal Large Cap
a342000000005TkAAI	PRD-007852	Mutual Fund	Principal Tax Savings
a342000000005TlAAI	PRD-007853	Mutual Fund	Reliance Banking
a342000000005TmAAI	PRD-007854	Mutual Fund	Reliance Dual Advantage FTF
a342000000005TnAAI	PRD-007855	Mutual Fund	Reliance Infrastructure
a342000000005ToAAI	PRD-007856	Mutual Fund	Reliance Liquid Treasury Institutional
a342000000005TpAAI	PRD-007857	Mutual Fund	Reliance Regular Savings Fund-Balanced
a342000000005TqAAI	PRD-007858	Mutual Fund	Reliance Small Cap
a342000000005TrAAI	PRD-007859	Mutual Fund	Savings Account
a342000000005TsAAI	PRD-007860	Mutual Fund	Templeton India FMP
a342000000005TtAAI	PRD-007861	Mutual Fund	Templeton India Income Opportunities
a342000000005TuAAI	PRD-007862	Mutual Fund	UTI Gold
a342000000005SRAAY	PRD-007771	General Insurance	ICICI Critical Care
a342000000005SSAAY	PRD-007772	Mutual Fund	ICICI Health Care Plus
a342000000005STAAY	PRD-007773	General Insurance	ICICI Lombard Critical Care
a342000000005SUAAY	PRD-007774	General Insurance	ICICI Lombard Critical Care Cover
a342000000005SVAAY	PRD-007775	General Insurance	ICICI Lombard Health Protect Family Floater
a342000000005SWAAY	PRD-007776	General Insurance	ICICI Lombard Health Protect Plus
a342000000005Q5AAI	PRD-007625	Mutual Fund	Birla Sun Life Dividend Yield Plus
a342000000005Q6AAI	PRD-007626	Mutual Fund	Birla Sun Life Dynamic Bond Fund
a342000000005Q7AAI	PRD-007627	Mutual Fund	Birla Sun Life Frontline Equity Fund
a342000000005Q8AAI	PRD-007628	Mutual Fund	Birla Sun Life Gold Fund
a342000000005Q9AAI	PRD-007629	Mutual Fund	Birla Sun Life Infrastructure Fund
a342000000005QAAAY	PRD-007630	Mutual Fund	Birla Sun Life Medium Term Plan
a342000000005QBAAY	PRD-007631	Mutual Fund	Birla Sun Life MidCap Fund
a342000000005QCAAY	PRD-007632	Mutual Fund	Birla Sun Life Savings Fund
a342000000005QDAAY	PRD-007633	Mutual Fund	Birla Sun Life 95
a342000000005QEAAY	PRD-007634	Mutual Fund	Birla Sun Life Asset Allocation Aggressive
a342000000005QFAAY	PRD-007635	Mutual Fund	Birla Sun Life Frontline Equity
a342000000005QGAAY	PRD-007636	Mutual Fund	Birla Sun Life Dynamic Bond (less than 5 cr)
a342000000005R2AAI	PRD-007684	Mutual Fund	Franklin India Balanced
a342000000005R3AAI	PRD-007685	Mutual Fund	HDFC Balanced Fund
a342000000005R4AAI	PRD-007686	Mutual Fund	HDFC Cash Management Treasury Advantage Fund
a342000000005R5AAI	PRD-007687	Mutual Fund	HDFC Equity Fund
a342000000005R6AAI	PRD-007688	Mutual Fund	HDFC Gold Fund
a342000000005R7AAI	PRD-007689	Mutual Fund	HDFC Growth Fund
a342000000005R8AAI	PRD-007690	Mutual Fund	HDFC High Interest Fund - Short Term Plan
a342000000005R9AAI	PRD-007691	Mutual Fund	HDFC Index Fund - Sensex Plus Plan
a342000000005RAAAY	PRD-007692	Mutual Fund	HDFC Liquid Fund
a342000000005RBAAY	PRD-007693	Mutual Fund	HDFC Long Term Advantage Fund
a342000000005RCAAY	PRD-007694	Mutual Fund	HDFC Mid-Cap Opportunities Fund
a342000000005RDAAY	PRD-007695	Mutual Fund	HDFC Monthly Income Plan - Long Term Plan
a342000000005REAAY	PRD-007696	Mutual Fund	HDFC Monthly Income Plan - Short Term Plan
a342000000005RFAAY	PRD-007697	Mutual Fund	HDFC Multiple Yield Fund
a342000000005RGAAY	PRD-007698	Mutual Fund	HDFC Prudence Fund
a342000000005RHAAY	PRD-007699	Mutual Fund	HDFC Tax Saver
a342000000005RIAAY	PRD-007700	Mutual Fund	HDFC Top 200 Fund
a342000000005RJAAY	PRD-007701	Mutual Fund	HDFC Cash Management Treasury Advantage
a342000000005RKAAY	PRD-007702	Mutual Fund	HDFC Equity
a342000000005RLAAY	PRD-007703	Mutual Fund	HDFC Growth
a342000000005RMAAY	PRD-007704	Mutual Fund	HDFC High Interest
a342000000005RNAAY	PRD-007705	Mutual Fund	HDFC Income
a342000000005ROAAY	PRD-007706	Mutual Fund	HDFC Medium Term Opportunities
a342000000005RPAAY	PRD-007707	Mutual Fund	HDFC Mid-Cap Opportunities
a342000000005RQAAY	PRD-007708	Mutual Fund	HDFC Premier Multi Cap
a342000000005QHAAY	PRD-007637	Mutual Fund	Birla Sun Life Long Term Adv
a342000000005QIAAY	PRD-007638	Mutual Fund	Birla Sun Life Small and Midcap Fund
a342000000005QJAAY	PRD-007639	Mutual Fund	Birla Sun Life Special Situations
a342000000005QKAAY	PRD-007640	Mutual Fund	Birla Sun Life Top 100
a342000000005QLAAY	PRD-007641	Mutual Fund	Birla Dynamic Bond Fund [Less than 5 crore]
a342000000005QMAAY	PRD-007642	Mutual Fund	Birla Dynamic Bond Fund [more than 5 crore]
a342000000005QNAAY	PRD-007643	Mutual Fund	Birla Savings  Fund - Insti Plan
a342000000005QOAAY	PRD-007644	Mutual Fund	Birla Savings  Fund - Retail Plan
a342000000005QPAAY	PRD-007645	Mutual Fund	Birla Dividend Yield Plus Fund
a342000000005RRAAY	PRD-007709	Mutual Fund	HDFC Prudence
a342000000005RSAAY	PRD-007710	Mutual Fund	HDFC Taxsaver
a342000000005RXAAY	PRD-007715	Mutual Fund	ICICI Flexi Income Fund
a342000000005RTAAY	PRD-007711	Mutual Fund	HDFC Top 200
a342000000005RYAAY	PRD-007716	Mutual Fund	ICICI Pru Dynamic Bond
a342000000005RZAAY	PRD-007717	Mutual Fund	ICICI Pru Focused Bluechip Eq Retail
a342000000005RaAAI	PRD-007718	Mutual Fund	ICICI Prudential Long term
a342000000005RUAAY	PRD-007712	Mutual Fund	ICICI Blue Chip Fund Growth
a342000000005RVAAY	PRD-007713	Mutual Fund	ICICI Discovery
a342000000005RWAAY	PRD-007714	Mutual Fund	ICICI Dynamic Plan
a342000000005RbAAI	PRD-007719	Mutual Fund	ICICI Prudential Regular Savings
a342000000005SXAAY	PRD-007777	General Insurance	ICICI Lombard Personal Accident Cover
a342000000005SYAAY	PRD-007778	General Insurance	ICICI Lombard Personal Protect Plan
a342000000005SZAAY	PRD-007779	General Insurance	ICICI Lombard Top Up Cover
a342000000005SaAAI	PRD-007780	General Insurance	ICICI Personal Protect
a342000000005SbAAI	PRD-007781	General Insurance	ICICI Personal Protect Policy
a342000000005ScAAI	PRD-007782	General Insurance	ICICI Pru Capital Protection
a342000000005SdAAI	PRD-007783	Mutual Fund	ICICI Prudential Capital Protection Oriented Fund
a342000000005SeAAI	PRD-007784	Mutual Fund	Premium persoanl Guard
a342000000005SfAAI	PRD-007785	General Insurance	Preventive Health Care
a342000000005SgAAI	PRD-007786	Mutual Fund	Top Up Policy with Rs.4,00,000 deductible
a342000000005ShAAI	PRD-007787	Mutual Fund	UTI  Equity
a342000000005SiAAI	PRD-007788	Mutual Fund	UTI Dividend Yield
a342000000005SjAAI	PRD-007789	Mutual Fund	UTI Dynamic Bond
a342000000005SkAAI	PRD-007790	Mutual Fund	UTI Master Plus 91
a342000000005SlAAI	PRD-007791	Mutual Fund	UTI Master Share
a342000000005SmAAI	PRD-007792	Mutual Fund	UTI Opportunities
a342000000005SnAAI	PRD-007793	Mutual Fund	UTI Short-term Income Regular
a342000000005SoAAI	PRD-007794	Mutual Fund	UTI TOP 100
a342000000005SpAAI	PRD-007795	Mutual Fund	Tata Balanced
a342000000005SqAAI	PRD-007796	Mutual Fund	Tata Contra
a342000000005SrAAI	PRD-007797	Mutual Fund	Tata Equity oppurtunities
a342000000005SsAAI	PRD-007798	Mutual Fund	Tata Equity PE
a342000000005StAAI	PRD-007799	Mutual Fund	Tata Income
a342000000005SuAAI	PRD-007800	Mutual Fund	Tata Mid Cap
a342000000005SvAAI	PRD-007801	Mutual Fund	Tata Pure Equity
a342000000005SwAAI	PRD-007802	Mutual Fund	Religare Invesco Mid Cap
a342000000005SxAAI	PRD-007803	Mutual Fund	Religare Invesco Tax Plan
a342000000005SyAAI	PRD-007804	Mutual Fund	Kotak Bond
a342000000005SzAAI	PRD-007805	Mutual Fund	Kotak Sensex ETF
a342000000005T0AAI	PRD-007806	Mutual Fund	Principal Income Short-term
a342000000005T1AAI	PRD-007807	Mutual Fund	L&T Equity Fund
a342000000005T2AAI	PRD-007808	Mutual Fund	L&T Flexi Bond
a342000000005T3AAI	PRD-007809	Mutual Fund	L&T India Large Cap Fund
a342000000005T4AAI	PRD-007810	Mutual Fund	L&T Tax Advantage Fund
a342000000005QQAAY	PRD-007646	Mutual Fund	DSP BlackRock Equity Fund
a342000000005QXAAY	PRD-007653	Mutual Fund	DSP BlackRock Small and Mid Cap Fund
a342000000005QYAAY	PRD-007654	Mutual Fund	DSP BlackRock Tax Saver Fund
a342000000005QZAAY	PRD-007655	Mutual Fund	DSP BlackRock Top 100 Equity Fund
a342000000005QRAAY	PRD-007647	Mutual Fund	DSP BlackRock Equity Fund - Regular Plan
a342000000005QSAAY	PRD-007648	Mutual Fund	DSP BlackRock Income Opportunities Fund
a342000000005QTAAY	PRD-007649	Mutual Fund	DSP BlackRock Micro Cap Fund
a342000000005QUAAY	PRD-007650	Mutual Fund	DSP BlackRock Money Manager Fund
a342000000005QVAAY	PRD-007651	Mutual Fund	DSP BlackRock Opportunities Fund
a342000000005QWAAY	PRD-007652	Mutual Fund	DSP BlackRock Short Term Fund
a342000000005QaAAI	PRD-007656	Mutual Fund	DSP Short Term Fund
a342000000005QbAAI	PRD-007657	Mutual Fund	DSP Equity Fund
a342000000005QcAAI	PRD-007658	Mutual Fund	DSP Money Manager Fund - Reg
a342000000005QdAAI	PRD-007659	Mutual Fund	DSP BlackRock Balanced
a342000000005QeAAI	PRD-007660	Mutual Fund	DSP BlackRock Bond
a342000000005QfAAI	PRD-007661	Mutual Fund	DSP BlackRock Equity
a342000000005QgAAI	PRD-007662	Mutual Fund	DSP BlackRock Micro Cap Reg
a342000000005QhAAI	PRD-007663	Mutual Fund	DSP BlackRock Opportunities
a342000000005QiAAI	PRD-007664	Mutual Fund	DSP BlackRock Small and Mid Cap Reg
a342000000005QjAAI	PRD-007665	Mutual Fund	DSP BlackRock T.I.G.E.R. Reg
a342000000005PwAAI	PRD-007616	Mutual Fund	Axis Equity Fund
a342000000005PxAAI	PRD-007617	Mutual Fund	Axis Gold ETF Growth
a342000000005PyAAI	PRD-007618	Mutual Fund	Axis Money Manager Fund
a342000000005PzAAI	PRD-007619	Mutual Fund	Axis Treasury Advantage Fund
a342000000005Q0AAI	PRD-007620	Mutual Fund	Axis Triple Advanatage Fund
a342000000005Q1AAI	PRD-007621	Mutual Fund	Axis Triple Advantage Fund - Growth
a342000000005Q2AAI	PRD-007622	Mutual Fund	Axis Treasury Advantage Fund - Growth
a342000000005Q3AAI	PRD-007623	Mutual Fund	Axis Triple Advantage Fund
a342000000005Q4AAI	PRD-007624	Mutual Fund	Axis Treasury Advantage
a342000000005RcAAI	PRD-007720	Mutual Fund	ICICI Prudential Tax Plan
a342000000005RdAAI	PRD-007721	Mutual Fund	IDFC Dynamic Bond Fund
a342000000005ReAAI	PRD-007722	Mutual Fund	IDFC Money Manager Fund - Treasury Plan A
a342000000005RfAAI	PRD-007723	Mutual Fund	IDFC Premier Equity Fund - Plan A
a342000000005RgAAI	PRD-007724	Mutual Fund	IDFC Sterling Equity Fund
a342000000005RhAAI	PRD-007725	Mutual Fund	IDFC Sterling Equity
a342000000005RiAAI	PRD-007726	Mutual Fund	IDFC Premier Equity
a342000000005RjAAI	PRD-007727	Mutual Fund	IDFC Money Manager
a342000000005RkAAI	PRD-007728	Mutual Fund	IDFC Imperial Equity
a342000000005RlAAI	PRD-007729	Mutual Fund	IDFC Premier Equity Plan A
a342000000005RmAAI	PRD-007730	Mutual Fund	IDFC Tax Advantage
a342000000005RoAAI	PRD-007732	Mutual Fund	Pramerica Equity Fund
a342000000005RpAAI	PRD-007733	Mutual Fund	Pramerica Short Term Income Fund
a342000000005RnAAI	PRD-007731	Mutual Fund	Pramerica Credit Opportunities Fund
a342000000005RqAAI	PRD-007734	Mutual Fund	Pramerica Ultra Short Term Bond Fund
a342000000005RrAAI	PRD-007735	Mutual Fund	Reliance Dynamic Bond Fund
a342000000005RsAAI	PRD-007736	Mutual Fund	Reliance Equity Opportunities Fund - Retail Plan (G)
a342000000005RtAAI	PRD-007737	Mutual Fund	Reliance Gold Savings Fund
a342000000005RuAAI	PRD-007738	Mutual Fund	Reliance Growth Fund - Retail Plan
a342000000005RvAAI	PRD-007739	Mutual Fund	Reliance Liquid Fund - Cash Plan
a342000000005RwAAI	PRD-007740	Mutual Fund	Reliance Money Manager Fund - Retail Plan
a342000000005RxAAI	PRD-007741	Mutual Fund	Reliance Monthly Income Plan
a342000000005RyAAI	PRD-007742	Mutual Fund	Reliance Regular Savings Fund - Debt Option - Retail Plan
a342000000005RzAAI	PRD-007743	Mutual Fund	Reliance Tax Saver (ELSS) Fund
a342000000005S0AAI	PRD-007744	Mutual Fund	Reliance Dynamic Bond
a342000000005S1AAI	PRD-007745	Mutual Fund	Reliance Long Term Equity
a342000000005S2AAI	PRD-007746	Mutual Fund	Reliance Regular Savings Equity
a342000000005S3AAI	PRD-007747	Mutual Fund	Reliance Short-term
a342000000005S4AAI	PRD-007748	Mutual Fund	Reliance Tax Saver
a342000000005S5AAI	PRD-007749	Mutual Fund	Reliance Vision
a342000000005S6AAI	PRD-007750	Mutual Fund	SBI Dynamic Bond Fund
a342000000005S7AAI	PRD-007751	Mutual Fund	SBI Emerging Businesses Fund - Regular Plan - G
a342000000005S8AAI	PRD-007752	Mutual Fund	SBI Magnum Tax Gain
a342000000005S9AAI	PRD-007753	Mutual Fund	SBI Magnum Contra
a342000000005SAAAY	PRD-007754	Mutual Fund	SBI Magnum Equity
a342000000005SBAAY	PRD-007755	Mutual Fund	SBI Short Term Ret
a342000000005SCAAY	PRD-007756	Mutual Fund	Sundaram Select Focus
a342000000005SDAAY	PRD-007757	Mutual Fund	Sundaram Select Mid Cap
a342000000005SEAAY	PRD-007758	Mutual Fund	Sundaram Growth
a342000000005SFAAY	PRD-007759	General Insurance	Apollo Munich Easy Health Individual
a342000000005SGAAY	PRD-007760	General Insurance	Apollo Munich Optima Senior
a342000000005SHAAY	PRD-007761	General Insurance	Bajaj Allianz Individual Health Guard
a342000000005SIAAY	PRD-007762	General Insurance	Bajaj Allianz Critical Care j Allianz
a342000000005SJAAY	PRD-007763	General Insurance	Bajaj Allianz Critical Care Policy
a342000000005SKAAY	PRD-007764	General Insurance	Bajaj Allianz Critical Illness Cover
a342000000005SLAAY	PRD-007765	General Insurance	Bajaj Allianz Extra Care
a342000000005SMAAY	PRD-007766	General Insurance	Bajaj Allianz Health Guard
a342000000005SNAAY	PRD-007767	General Insurance	Bajaj Allianz Premier Personal Guard
a342000000005SOAAY	PRD-007768	Life Insurance	BSLI Protector Plus Plan
a342000000005SPAAY	PRD-007769	Life Insurance	HDFC Life Click 2 Protect
a342000000005SQAAY	PRD-007770	General Insurance	Health Guard
a342000000005QkAAI	PRD-007666	Mutual Fund	DSP BlackRock Tax Saver
a342000000005QlAAI	PRD-007667	Mutual Fund	DSP BlackRock Top 100 Equity Reg
a342000000005QmAAI	PRD-007668	Mutual Fund	DSP BlackRock TOP 100 Reg
a342000000005QnAAI	PRD-007669	Mutual Fund	Templeton India Equity Income Fund
a342000000005QoAAI	PRD-007670	Mutual Fund	Templeton India Growth Fund
a342000000005QpAAI	PRD-007671	Mutual Fund	Templeton India Short Term Income Plan
a342000000005QqAAI	PRD-007672	Mutual Fund	Templeton India Treasury Management Account - Regular Plan
a342000000005QrAAI	PRD-007673	Mutual Fund	Templeton India Growth
a342000000005QsAAI	PRD-007674	Mutual Fund	Templeton India Short Term  Income
a342000000005QtAAI	PRD-007675	Mutual Fund	Templeton India Short-term Income Ret
a342000000005QuAAI	PRD-007676	Mutual Fund	Franklin India Bluechip Fund
a342000000005QvAAI	PRD-007677	Mutual Fund	Franklin India Flexi Cap Fund
a342000000005QwAAI	PRD-007678	Mutual Fund	Franklin India Prima Fund
a342000000005QxAAI	PRD-007679	Mutual Fund	Franklin India Tax Shield
a342000000005QyAAI	PRD-007680	Mutual Fund	Franklin India Bluechip
a342000000005QzAAI	PRD-007681	Mutual Fund	Franklin India Opportunities
a342000000005R0AAI	PRD-007682	Mutual Fund	Franklin India Prima Plus
a342000000005R1AAI	PRD-007683	Mutual Fund	Franklin India Flexi Cap
a342000000005xHAAQ	PRD-009106	Mutual Fund	BSL Savings Fund
a342000000005xIAAQ	PRD-009107	Mutual Fund	BSL Short Term Fund
a342000000005xJAAQ	PRD-009108	Mutual Fund	BSL Frontline Equity Fund
a342000000005xKAAQ	PRD-009109	Mutual Fund	BSL Dynamic Bond Fund
a342000000005xLAAQ	PRD-009110	Mutual Fund	BSL Monthly Income  Plan
a342000000005xMAAQ	PRD-009111	Mutual Fund	Birla Div Yield Plus Fund
a342000000005xNAAQ	PRD-009112	Mutual Fund	Birla Medium Term Plan
a342000000005xOAAQ	PRD-009113	Mutual Fund	DSP BlackRock Money Manger Fund
a342000000005xPAAQ	PRD-009114	Mutual Fund	Edelweiss D.G.E. Top 100 Fund
a342000000005xQAAQ	PRD-009115	Mutual Fund	Franklin India Blue Chip Fund
a342000000005xRAAQ	PRD-009116	Mutual Fund	Templeton India Ultra Short Bond Fund
a342000000005xSAAQ	PRD-009117	Mutual Fund	HDFC High Interest Fund
a342000000005xTAAQ	PRD-009118	Mutual Fund	HDFC CMF - Treasury Advantage Plan
a342000000005xUAAQ	PRD-009119	Mutual Fund	HDFC Tax saver Fund
a342000000005xVAAQ	PRD-009120	Mutual Fund	HDFC Hi Stort Term Fund
a342000000005xWAAQ	PRD-009121	Mutual Fund	HDFC Multiple Yield (D)
a342000000005xXAAQ	PRD-009122	Mutual Fund	ICICI Prudential Focused Blue chip Equity Fund
a342000000005xYAAQ	PRD-009123	Mutual Fund	ICICI Regular Savings Fund
a342000000005xZAAQ	PRD-009124	Mutual Fund	ICICI Pru Blue Chip Fund
a342000000005xaAAA	PRD-009125	Mutual Fund	ICICI Flexible Income Fund
a342000000005xbAAA	PRD-009126	Mutual Fund	ICICI Prudential Focused Blue chip Fund
a342000000005xcAAA	PRD-009127	Mutual Fund	IDFC Tax Advantage Fund
a342000000005xdAAA	PRD-009128	Mutual Fund	IDFC Money Manager Treasury
a342000000005xeAAA	PRD-009129	Mutual Fund	IDFC Premier Equity Fund
a342000000005xfAAA	PRD-009130	Mutual Fund	IDFC Treasury Advantage Fund
a342000000005xgAAA	PRD-009131	Mutual Fund	Kotak Opportunities Fund
a342000000005xhAAA	PRD-009132	Mutual Fund	L & T Gilt fund
a342000000005xiAAA	PRD-009133	Mutual Fund	Reliance Regular Savings Equity Fund
a342000000005xjAAA	PRD-009134	Mutual Fund	Reliance Equity Opportunities Fund
a342000000005xkAAA	PRD-009135	Mutual Fund	SBI FMCG Fund
a342000000005xlAAA	PRD-009136	Mutual Fund	SBI Emerging Business Fund
a342000000005xmAAA	PRD-009137	Mutual Fund	SBI Dynamic Bond
a342000000005xnAAA	PRD-009138	Mutual Fund	UTI Dynamic Bond Fund
a342000000005wOAAQ	PRD-009055	Life Insurance	LIC Term Plan
a342000000005wJAAQ	PRD-009054	Life Insurance	Kotak Life Preferred Term Plan
a34200000000334AAA	PRD-000000	Mutual Fund	HDFC Top 200
a34200000000335AAA	PRD-000001	Mutual Fund	HDFC Prudence
a34200000000336AAA	PRD-000002	Life Insurance	HDFC Click 2 Protect
a34200000000337AAA	PRD-000003	Life Insurance	HDFC Term Assurance Plan
a34200000000338AAA	PRD-000004	Mutual Fund	SBI Magnum Tax Gain
a34200000000339AAA	PRD-000005	Mutual Fund	SBI BLUE CHIP FUND
a3420000000033AAAQ	PRD-000006	Mutual Fund	IDFC Premier Equity Fund
a3420000000033BAAQ	PRD-000007	Mutual Fund	IDFC Equity Fund - Plan A
a3420000000033CAAQ	PRD-000008	Life Insurance	ICICI Pru iCare Term Insurance Plans
a3420000000033DAAQ	PRD-000009	Life Insurance	ICICI Pru ClaimCare
a3420000000033EAAQ	PRD-000010	General Insurance	Optima Restore Individual
a342000000005TOAAY	PRD-007830	General Insurance	ICICI Lombard Personal Accident Cover
