ACTIVE__C	MAX_YEAR_VALUE__C	MIN_YEAR_VALUE__C	PRODUCT__C	UPFRONT_COMMISSION__C	TRAIL_COMMISSION__C	ID
TRUE	0	0	a342000000005T5AAI	0.75	0.5	a3J2000000001RZEAY
TRUE	0	0	a342000000005T6AAI	0	0	a3J2000000001RaEAI
TRUE	0	0	a342000000005T7AAI	0	0.5	a3J2000000001RbEAI
TRUE	0	0	a342000000005T8AAI	1	0.5	a3J2000000001RcEAI
TRUE	0	0	a342000000005T9AAI	1	0.5	a3J2000000001RdEAI
TRUE	0	0	a342000000005TAAAY	0	0.1	a3J2000000001ReEAI
TRUE	0	0	a342000000005TBAAY	3.5	0	a3J2000000001RfEAI
TRUE	0	0	a342000000005TCAAY	0.9	0.45	a3J2000000001RgEAI
TRUE	0	0	a342000000005TDAAY	0.5	0.6	a3J2000000001RhEAI
TRUE	0	0	a342000000005TEAAY	3	0	a3J2000000001RiEAI
TRUE	0	0	a342000000005TFAAY	0	0	a3J2000000001RjEAI
TRUE	0	0	a342000000005TGAAY	0	0	a3J2000000001RkEAI
TRUE	0	0	a342000000005THAAY	2	0.35	a3J2000000001RlEAI
TRUE	0	0	a342000000005TIAAY	0	0	a3J2000000001RmEAI
TRUE	0	0	a342000000005TJAAY	0	0.9	a3J2000000001RnEAI
TRUE	0	0	a342000000005TKAAY	0	0	a3J2000000001RoEAI
TRUE	0	0	a342000000005TLAAY	0.5	0.5	a3J2000000001RpEAI
TRUE	0	0	a342000000005TMAAY	0.5	0.5	a3J2000000001RqEAI
TRUE	0	0	a342000000005TNAAY	0	0	a3J2000000001RrEAI
TRUE	0	0	a342000000005TOAAY	0	0	a3J2000000001RsEAI
TRUE	0	0	a342000000005TPAAY	0.75	0.75	a3J2000000001RtEAI
TRUE	0	0	a342000000005TQAAY	0	0	a3J2000000001RuEAI
TRUE	0	0	a342000000005TRAAY	1	0	a3J2000000001RvEAI
TRUE	0	0	a342000000005TSAAY	0.75	0.75	a3J2000000001RwEAI
TRUE	0	0	a342000000005TTAAY	0	0.65	a3J2000000001RxEAI
TRUE	0	0	a342000000005TUAAY	0	0	a3J2000000001RyEAI
TRUE	0	0	a342000000005TVAAY	0.4	0.35	a3J2000000001RzEAI
TRUE	0	0	a342000000005TWAAY	0	0	a3J2000000001S0EAI
TRUE	0	0	a342000000005TXAAY	1.75	0	a3J2000000001S1EAI
TRUE	0	0	a342000000005TYAAY	0	0.5	a3J2000000001S2EAI
TRUE	0	0	a342000000005TZAAY	1	0.35	a3J2000000001S3EAI
TRUE	0	0	a342000000005TaAAI	0.5	0.5	a3J2000000001S4EAI
TRUE	0	0	a342000000005TbAAI	0	0	a3J2000000001S5EAI
TRUE	0	0	a342000000005TcAAI	0.5	0	a3J2000000001S6EAI
TRUE	0	0	a342000000005TdAAI	0.5	0.5	a3J2000000001S7EAI
TRUE	0	0	a342000000005TeAAI	0.75	0.5	a3J2000000001S8EAI
TRUE	0	0	a342000000005TfAAI	0	0	a3J2000000001S9EAI
TRUE	0	0	a342000000005TgAAI	0.75	0.5	a3J2000000001SAEAY
TRUE	0	0	a342000000005ThAAI	0.75	0.5	a3J2000000001SBEAY
TRUE	0	0	a342000000005TiAAI	4	0	a3J2000000001SCEAY
TRUE	0	0	a342000000005TjAAI	0.9	0.45	a3J2000000001SDEAY
TRUE	0	0	a342000000005TkAAI	3	0	a3J2000000001SEEAY
TRUE	0	0	a342000000005TlAAI	0.8	0.5	a3J2000000001SFEAY
TRUE	0	0	a342000000005TmAAI	0	0	a3J2000000001SGEAY
TRUE	0	0	a342000000005TnAAI	0.8	0.5	a3J2000000001SHEAY
TRUE	0	0	a342000000005ToAAI	0	0.05	a3J2000000001SIEAY
TRUE	0	0	a342000000005TpAAI	1.7	0	a3J2000000001SJEAY
TRUE	0	0	a342000000005hs	1.1	0	a3J2000000001Tr
TRUE	0	0	a342000000005TqAAI	0.8	0.5	a3J2000000001SKEAY
TRUE	0	0	a342000000005TrAAI	0	0	a3J2000000001SLEAY
TRUE	0	0	a342000000005TsAAI	0	0	a3J2000000001SMEAY
TRUE	0	0	a342000000005TtAAI	0.9	0	a3J2000000001SNEAY
TRUE	0	0	a342000000005TuAAI	0	0	a3J2000000001SOEAY
